song,youtube_url,youtube_play_times,spotify_id,spotify_popularity,word_count_A,matched_word_count_A,word_count_S,matched_word_count_S,subtree_combination_count_A,matched_subtree_count_A,subtree_combination_count_S,matched_subtree_count_S
遥か,https://www.youtube.com/watch?v=im2b4ZVwjzY&pp=ygUOZ3JlZWVlbiDpgaXjgYs%3D,3019.0,4wBFubvNAwVox8q4SYXHqU,61,39.0,20.0,30.0,26.0,230751.0,32.0,217.0,72.0
キセキ,https://www.youtube.com/watch?v=DwTinTO0o9I&pp=ygURZ3JlZWVlbiDjgq3jgrvjgq0%3D,8606.0,2bzdhN6Y5AP1zRRf12QwJq,56,25.0,18.0,42.0,27.0,2475.0,16.0,443413.0,27.0
オレンジ,https://www.youtube.com/watch?v=q37sCyHqeqE&pp=ygUUZ3JlZWVlbiDjgqrjg6zjg7Pjgrg%3D,2955.0,0rduVGD3WmGciFFb6sUScg,56,33.0,25.0,60.0,44.0,7078.0,14.0,64453172.0,85.0
愛唄,https://www.youtube.com/watch?v=EvwRYGlJWfQ&pp=ygUOZ3JlZWVlbiDmhJvllIQ%3D,6708.0,7CKNIPYunPhupoNZXdi4GS,53,39.0,21.0,29.0,21.0,6598.0,29.0,1839.0,18.0
花唄,https://www.youtube.com/watch?v=nvz6exaaSxA&pp=ygUOZ3JlZWVlbiDoirHllIQ%3D,3904.0,3vzerJweXcahCRrGl78ohE,54,42.0,30.0,29.0,24.0,33068.0,30.0,39816.0,21.0
星影のエール,https://www.youtube.com/watch?v=wqxs8k5OudU,916.0,0olDaDIw7wgrfAuBhF1vkm,47,30.0,19.0,29.0,19.0,3374.0,25.0,-1.0,-1.0
蕾,https://www.youtube.com/watch?v=jh46HYW52IQ&pp=ygULZ3JlZWVlbiDolb4%3D,144.0,4RvXKXQGHCAXVfkk4QEJCa,46,,,,,,,,
ビリーヴ,https://www.youtube.com/watch?v=U2fWteh3PIk&pp=ygUUZ3JlZWVlbiDjg5Pjg6rjg7zjg7Q%3D,94.0,1c4UEh3uu1RZvXkt2Q14Dr,46,43.0,31.0,46.0,29.0,30676.0,110.0,359021.0,31.0
またね。,https://www.youtube.com/watch?v=xpMW7wJTT3c&pp=ygURZ3JlZWVlbiDjgb7jgZ_jga0%3D,53.0,6JgIppuL1asWTafEBEJCFr,41,,,,,,,,
扉,https://www.youtube.com/watch?v=46s0w_IInL0&pp=ygULZ3JlZWVlbiDmiYk%3D,729.0,53xNhPSXi0bVpwetejmOqo,41,45.0,32.0,29.0,25.0,878669.0,34.0,3827.0,17.0
人,https://www.youtube.com/watch?v=Xf8JVKS-PFU&pp=ygULZ3JlZWVlbiDkuro%3D,307.0,1qULtVzx3VtmZhBeBxdHFH,40,62.0,50.0,38.0,27.0,121424151.0,26.0,217244.0,16.0
たけてん,https://www.youtube.com/watch?v=Z6H1-pok7R8&pp=ygUUZ3JlZWVlbiDjgZ_jgZHjgabvvY4%3D,137.0,2ScPlHiBykNQEvJ511R1HI,39,28.0,23.0,38.0,26.0,409.0,16.0,145000.0,18.0
歩み,https://www.youtube.com/watch?v=JHq6kYWdgNo&pp=ygUOZ3JlZWVlbiDmranjgb8%3D,666.0,2Y2wMEg4n1Va2cffhaJTi2,40,,,,,,,,
BE_FREE,https://www.youtube.com/watch?v=x_1Slv4PHjU&pp=ygUPZ3JlZWVlbiBiZSBmcmVl,387.0,1SKDuztE4y5HxboJn9CNo6,41,20.0,17.0,28.0,22.0,162.0,16.0,8983.0,30.0
君想い,https://www.youtube.com/watch?v=gis-xZlQgGQ&pp=ygUXZ3JlZWVlbiDjgY3jgb_jgYrjgoLjgYQ%3D,38.0,6EtbvKUDorqlMamXtv6Rwg,35,58.0,44.0,27.0,15.0,3920835.0,32.0,1134.0,12.0
