song,numerator_A,denominator_A,numerator_S,denominator_S
BE_FREE,16,162,26,8983
SUN_SHINE!!!,26,29361,15,788
beautiful_days,23,3940,10,50571
no_more_war,24,54529627,4,174
たけてん,16,409,18,145000
オレンジ,10,7078,77,64453172
キセキ,12,2475,27,443413
サヨナラから始めよう,20,52168222,6,638
ビリーヴ,54,30676,31,359021
ルーキーズ,32,31395699,,
人,26,121424151,16,217244
刹那,6,1710,2,256
君想い,32,3920835,8,1134
愛唄,29,6598,18,1839
扉,34,878669,17,3827
旅立ち,24,8450,17,12938
星影のエール,21,3374,,
涙空,8,4674747,13,56
花唄,30,33068,21,39816
遥か,32,230751,15,217
