song,numerator_A,denominator_A,numerator_S,denominator_S
BE_FREE,16,162,26,8983
SUN_SHINE!!!,22,29361,15,610
beautiful_days,17,3940,10,50571
no_more_war,28,54436365,4,193
たけてん,16,409,18,145000
オレンジ,8,4561,77,9473472
キセキ,12,1600,25,371437
サヨナラから始めよう,20,7786707,6,220
ビリーヴ,39,28427,29,327195
ルーキーズ,30,28028279,19,212613
人,30,111338890,16,214691
刹那,6,1710,2,256
君想い,32,3851994,8,1134
愛唄,29,6598,16,1839
扉,34,411874,17,3827
旅立ち,24,8237,17,6635
星影のエール,21,3374,12,1911
涙空,6,4591020,13,56
花唄,26,33068,21,15372
遥か,30,162508,15,217
