song,numerator_A,denominator_A,numerator_S,denominator_S
BE_FREE,162,16,8983,26
SUN_SHINE!!!,29361,26,788,15
beautiful_days,3940,23,50571,10
no_more_war,54529627,24,174,4
たけてん,409,16,145000,18
オレンジ,7078,10,64453172,77
キセキ,2475,12,443413,27
サヨナラから始めよう,52168222,20,638,6
ビリーヴ,30676,54,359021,31
ルーキーズ,31395699,32,,
人,121424151,26,217244,16
刹那,1710,6,256,2
君想い,3920835,32,1134,8
愛唄,6598,29,1839,18
扉,878669,34,3827,17
旅立ち,8450,24,12938,17
星影のエール,3374,21,,
涙空,4674747,8,56,13
花唄,33068,30,39816,21
遥か,230751,32,217,15
