song,youtube_url,youtube_play_times,spotify_id,spotify_popularity
アンコール,https://www.youtube.com/watch?v=vcGbefQBvJ4,7334,,
ハルジオン,https://www.youtube.com/watch?v=kzdJkT4kp-A,10158,,
あの夢をなぞって,https://www.youtube.com/watch?v=sAuEeM_6zpk,10531,,
たぶん,https://www.youtube.com/watch?v=8iuLXODzL04,11552,,
群青,https://www.youtube.com/watch?v=Y4nEEZwckuU,16411,,
ハルカ,https://www.youtube.com/watch?v=vd3IlOjSUGQ,6342,,
夜に駆ける,https://www.youtube.com/watch?v=x8VYWazR5mE,27303,,
ツバメ,https://www.youtube.com/watch?v=qDL3zhB8-MM,2656,,
三原色,https://www.youtube.com/watch?v=nhOhFOoURnE,7867,,
大正浪漫,https://www.youtube.com/watch?v=wJQ9ig_d8yY,2344,,
もう少しだけ,https://www.youtube.com/watch?v=K1Tz2yNmamI,2096,,
優しい彗星,https://www.youtube.com/watch?v=VyvhvlYvRnc,3494,,
怪物,https://www.youtube.com/watch?v=dy90tA3TT1c,32987,,
もしも命が描けたら,https://www.youtube.com/watch?v=I0kytvnHG-Q,2318,,
ラブレター,https://www.youtube.com/watch?v=mnta9Pp2LqA,4166,,
勇者,https://www.youtube.com/watch?v=OIBODIPC_8Y,6453,,
祝福,https://www.youtube.com/watch?v=3eytpBOkOFA,9676,,
海のまにまに,https://www.youtube.com/watch?v=7G0ovtPqHnI,1201,,
ミスター,https://www.youtube.com/watch?v=2-c0DFt6vK4,828,,
アイドル,https://www.youtube.com/watch?v=ZRtdQ81jPUQ,42515,,
セブンティーン,https://www.youtube.com/watch?v=0yoM7ETNPIY,2115,,
アドベンチャー,https://www.youtube.com/watch?v=Av3xaZkVpJs,1929,,
好きだ,https://www.youtube.com/watch?v=WQ6ePunO8uY,963,,
