song,numerator_A,denominator_A,numerator_S,denominator_S
あの夢をなぞって,,,20,456478737
たぶん,8,57,35,11919
もう少しだけ,29,798804,23,587837
もしも命が描けたら,7,2498,13,910108
アイドル,7,2301,14,2659230
アドベンチャー,25,2536,18,1970
アンコール,32,43759179,21,459
セブンティーン,15,13520,32,4839963
ツバメ,19,253854,12,12195836
ハルカ,13,1535,22,1678
ハルジオン,11,233,31,7345726
ミスター,6,2728,,
ラブレター,41,5062707,20,152239
三原色,12,34459,18,4485
優しい彗星,4,867,48,14609
勇者,12,35678,34,1182184
夜に駆ける,6,194,31,92344
大正浪漫,26,70311866,14,113095
好きだ,25,1167905353,10,10753
怪物,,,16,44068
海のまにまに,13,1343,28,1110
祝福,24,893,34,2653952
群青,10,1307,28,15811
