song,youtube_url,youtube_play_times,spotify_id,spotify_popularity,subtree_combination_count_A,matched_subtree_count_A,subtree_combination_count_S,matched_subtree_count_S,word_count_A,matched_word_count_A,word_count_S,matched_word_count_S
都落ち,https://www.youtube.com/watch?v=pHdJmDFYqTU&pp=ygUJ6YO96JC944Gh,683.0,3PPiVAQnUOQ2w0EcpxJhIK,60,486099.0,18.0,3315.0,16.0,40.0,37.0,25.0,15.0
ブレーメン,https://www.youtube.com/watch?v=oy6MDr6I6rM&pp=ygUP44OW44Os44O844Oh44Oz,1154.0,1ylSVi90GEMU9VnRathz86,53,2572620.0,28.0,364319.0,26.0,47.0,33.0,46.0,31.0
チノカテ,https://www.youtube.com/watch?v=Fq55MMfHoJg&pp=ygUM44OB44OO44Kr44OG,788.0,7HIfg6iQgXkVEUMHAAXW2d,61,,,,,,,,
月に吠える,https://www.youtube.com/watch?v=wCN9WliV-ew&pp=ygUP5pyI44Gr5ZCg44GI44KL,1136.0,3uonNvOEbpwzyP7JJub2NM,51,377991.0,15.0,4709013.0,26.0,46.0,33.0,54.0,38.0
４５１,https://www.youtube.com/watch?v=RmYdZZLOYA8&pp=ygUQNDUxIOODqOODq-OCt-OCqw%3D%3D,171.0,4du1WjLNyDNu7xWTsfJKSP,48,33741.0,10.0,1133.0,4.0,39.0,27.0,36.0,20.0
又三郎,https://www.youtube.com/watch?v=siNFnlqtd8M&pp=ygUW44Oo44Or44K344KrIOWPiOS4iemDjg%3D%3D,1276.0,110pm8A7NxGHrc47Kxu62x,59,4492.0,25.0,56642.0,8.0,26.0,20.0,23.0,17.0
靴の花火,https://www.youtube.com/watch?v=BCt9lS_Uv_Y&pp=ygUZ44Oo44Or44K344KrIOmdtOOBruiKseeBqw%3D%3D,4213.0,5mOOwyOGev9frlXm5NDEQy,53,298.0,10.0,1129434.0,25.0,18.0,14.0,57.0,48.0
老人と海,https://www.youtube.com/watch?v=WwnZeQiI6hQ&pp=ygUZ44Oo44Or44K344KrIOiAgeS6uuOBqOa1tw%3D%3D,835.0,4THJtjYhMHZXDKTAXuQND4,52,7477.0,8.0,1158239.0,6.0,33.0,23.0,46.0,32.0
左右盲,https://www.youtube.com/watch?v=1IlTeOMCNJU&pp=ygUX44Oo44Or44K344KrIOW3puWPs-ebsiA%3D,1602.0,5f9mOY7qsk0LMp83PGfetj,54,12072.0,16.0,6915212.0,22.0,30.0,15.0,57.0,39.0
アルジャーノン,https://www.youtube.com/watch?v=_9_rUFrgLI8&pp=ygUi44Oo44Or44K344KrIOOCouODq-OCuOODo-ODvOODjuODsw%3D%3D,897.0,0DygiZzrBa3T4DaOEQSMrf,61,,,,,,,,
第一夜,https://www.youtube.com/watch?v=-R8UiY_44Y0&pp=ygUW44Oo44Or44K344KrIOesrOS4gOWknA%3D%3D,243.0,1NyVWtIklHhCW3AB9YcAMH,52,14397682.0,40.0,133.0,18.0,49.0,36.0,25.0,16.0
カトレア,,,4AK6TjpIybCTe1QphPXFn9,51,36342.0,7.0,8773.0,11.0,36.0,26.0,30.0,21.0
言って。,https://www.youtube.com/watch?v=F64yFFnZfkI&pp=ygUW44Oo44Or44K344KrIOiogOOBo-OBpg%3D%3D,15000.0,6z1TvLTR0oOsWSJfDrERmj,71,47141.0,30.0,783962.0,29.0,29.0,23.0,45.0,37.0
あの夏に咲け,,,4Z8WSP6i30vg05WTDyvw0X,58,589590.0,19.0,104857.0,21.0,49.0,41.0,33.0,25.0
雲と幽霊,https://www.youtube.com/watch?v=JJaCwW4HyVs&pp=ygUZ44Oo44Or44K344KrIOmbsuOBqOW5vemcig%3D%3D,4339.0,469v6OYBSwcdGRTTvj37ps,54,9529.0,10.0,87505.0,24.0,28.0,25.0,40.0,29.0
負け犬にアンコールはいらない,,,1fooGB6yJLKiOk8jW3thn6,66,16528.0,23.0,9735415.0,41.0,31.0,26.0,54.0,41.0
爆弾魔,,,2L9dBaAmQ5qydXHSz8bN96,51,3098.0,14.0,33974.0,67.0,17.0,11.0,45.0,26.0
ヒッチコック,https://www.youtube.com/watch?v=t7MBzMP4OzY&pp=ygUf44Oo44Or44K344KrIOODkuODg-ODgeOCs-ODg-OCrw%3D%3D,7701.0,153lRbNmhQZVi69kbhmjY8,68,,,,,65.0,54.0,60.0,49.0
準透明少年,https://www.youtube.com/watch?v=9ypEFXTakV8&pp=ygUc44Oo44Or44K344KrIOa6lumAj-aYjuWwkeW5tA%3D%3D,2248.0,7nj9JW6QQrholNi2R2lffN,52,137500.0,23.0,30236.0,14.0,43.0,31.0,33.0,28.0
ただ君に晴れ,https://www.youtube.com/watch?v=-VKIqrvVOpo&pp=ygUf44Oo44Or44K344KrIOOBn-OBoOWQm-OBq-aZtOOCjA%3D%3D,20000.0,3wJHCry960drNlAUGrJLmz,77,499.0,20.0,5681.0,31.0,29.0,20.0,31.0,26.0
冬眠,,,28QP3jpaBPGgKKH4x3y5Dg,50,22481.0,11.0,12009.0,21.0,29.0,22.0,33.0,27.0
