song,numerator_A,denominator_A,numerator_S,denominator_S
あの夏に咲け,19,589590,17,104857
ただ君に晴れ,20,499,31,5681
カトレア,7,36342,11,8773
ブレーメン,24,2572620,26,364319
冬眠,11,22481,21,12009
又三郎,25,4492,8,56642
左右盲,16,12072,22,6915212
月に吠える,15,377991,26,4709013
準透明少年,23,137500,14,30236
爆弾魔,10,3098,63,33974
第一夜,40,14397682,14,133
老人と海,8,7477,6,1158239
言って。,30,47141,29,783962
負け犬にアンコールはいらない,23,16528,37,9735415
都落ち,18,486099,11,3315
雲と幽霊,10,9529,24,87505
靴の花火,10,298,25,1129434
４５１,10,33741,4,1133
